Size	Source	Binary Packages
596612	doxia	libdoxia-core-java(Doxia content generation framework (core))+libdoxia-java(Doxia content generation framework (modules))+libdoxia-java-doc(Documentation for libdoxia-java)
604561	httpcomponents-client	libhttpclient-java(HTTP/1.1 compliant HTTP agent implementation)+libhttpmime-java(HTTP/1.1 compliant HTTP agent implementation - MIME extension)
605001	commons-configuration	libcommons-configuration-java(Java based library providing a generic configuration interface)+libcommons-configuration-java-doc(API Documentation for commons-configuration)
622620	chromaprint	libchromaprint-dev(audio fingerprinting library - development files)+libchromaprint-tools(audio fingerprinting library - tools)+libchromaprint1(audio fingerprint library)
667610	libxcb	libxcb-composite0(X C Binding, composite extension)+libxcb-composite0-dev(X C Binding, composite extension, development files)+libxcb-damage0(X C Binding, damage extension)+libxcb-damage0-dev(X C Binding, damage extension, development files)+libxcb-doc(X C Binding, development documentation)+libxcb-dpms0(X C Binding, dpms extension)+libxcb-dpms0-dev(X C Binding, dpms extension, development files)+libxcb-dri2-0(X C Binding, dri2 extension)+libxcb-dri2-0-dev(X C Binding, dri2 extension, development files)+libxcb-dri3-0(X C Binding, dri3 extension)+libxcb-dri3-dev(X C Binding, dri3 extension, development files)+libxcb-glx0(X C Binding, glx extension)+libxcb-glx0-dev(X C Binding, glx extension, development files)+libxcb-present-dev(X C Binding, present extension, development files)+libxcb-present0(X C Binding, present extension)+libxcb-randr0(X C Binding, randr extension)+libxcb-randr0-dev(X C Binding, randr extension, development files)+libxcb-record0(X C Binding, record extension)+libxcb-record0-dev(X C Binding, record extension, development files)+libxcb-render0(X C Binding, render extension)+libxcb-render0-dev(X C Binding, render extension, development files)+libxcb-res0(X C Binding, res extension)+libxcb-res0-dev(X C Binding, res extension, development files)+libxcb-screensaver0(X C Binding, screensaver extension)+libxcb-screensaver0-dev(X C Binding, screensaver extension, development files)+libxcb-shape0(X C Binding, shape extension)+libxcb-shape0-dev(X C Binding, shape extension, development files)+libxcb-shm0(X C Binding, shm extension)+libxcb-shm0-dev(X C Binding, shm extension, development files)+libxcb-sync-dev(X C Binding, sync extension, development files)+libxcb-sync1(X C Binding, sync extension)+libxcb-xf86dri0(X C Binding, xf86dri extension)+libxcb-xf86dri0-dev(X C Binding, xf86dri extension, development files)+libxcb-xfixes0(X C Binding, xfixes extension)+libxcb-xfixes0-dev(X C Binding, xfixes extension, development files)+libxcb-xinerama0(X C Binding, xinerama extension)+libxcb-xinerama0-dev(X C Binding, xinerama extension, development files)+libxcb-xinput-dev(X C Binding, xinput extension, development files)+libxcb-xinput0(X C Binding, xinput extension)+libxcb-xkb-dev(X C Binding, XKEYBOARD extension, development files)+libxcb-xkb1(X C Binding, XKEYBOARD extension)+libxcb-xtest0(X C Binding, xtest extension)+libxcb-xtest0-dev(X C Binding, xtest extension, development files)+libxcb-xv0(X C Binding, xv extension)+libxcb-xv0-dev(X C Binding, xv extension, development files)+libxcb-xvmc0(X C Binding, xvmc extension)+libxcb-xvmc0-dev(X C Binding, xvmc extension, development files)+libxcb1(X C Binding)+libxcb1-dev(X C Binding, development files)
701680	file	file(Recognize the type of data in a file using magic numbers)+libmagic-dev(Recognize the type of data in a file using magic numbers - development)+libmagic-mgc(File type determination library using magic numbers (compiled magic file))+libmagic1(Recognize the type of data in a file using magic numbers - library)
727758	surefire	libsurefire-java(Surefire test framework for Java)
735302	antlr3	antlr3(language tool for constructing recognizers, compilers etc)+antlr3-doc(language tool for constructing compilers etc - documentation)+antlr3-gunit-maven-plugin(Maven plugin for gUnit, a unit test framework for ANTLR grammars)+antlr3-maven-plugin(Maven plugin for ANTLR 3)+libantlr3-gunit-java(Unit Test framework for ANTLR grammars)+libantlr3-gunit-java-doc(API documentation for gUnit)+libantlr3-runtime-java(Runtime library for ANTLR 3)
739483	webhelpers	python-webhelpers(library of helper functions to make writing web application templates easier)
743664	velocity	velocity(Java-based template engine for web application)+velocity-doc(Documentation for velocity)
772137	maven-resources-plugin	libmaven-resources-plugin-java(Maven resources plugin)
784488	xfonts-encodings	xfonts-encodings(Encodings for X.Org fonts)
813790	maven	libmaven3-core-java(Core libraries for Maven 3)+maven(Java software project management and comprehension tool)
863143	ruby-rspec	ruby-rspec(Behaviour Driven Development framework for Ruby - metapackage)+ruby-rspec-core(Behaviour Driven Development framework for Ruby - core)+ruby-rspec-expectations(Behaviour Driven Development framework for Ruby - expectations)+ruby-rspec-mocks(Behaviour Driven Development framework for Ruby - mocks)+ruby-rspec-support(Behaviour Driven Development framework for Ruby - support)
932919	slib	slib(Portable Scheme library)
937260	php-zeta-console-tools	php-zeta-console-tools(Zeta Components - ConsoleTools package)
959264	libfm	libfm-data(file management support (common data))+libfm-dbg(file management support (libfm debug))+libfm-dev(file management support (core development files))+libfm-doc(file management support (development documentation))+libfm-extra-dev(file management support (libfm-extra development files))+libfm-extra4(file management support (extra library))+libfm-gtk-data(file management support (GTK+ library common data))+libfm-gtk-dbg(file management support (libfm-gtk debug))+libfm-gtk-dev(file management support (GTK+ GUI development files))+libfm-gtk4(file management support (GTK+ 2.0 GUI library))+libfm-modules(file management support (loadable modules for library))+libfm-modules-dbg(file management support (libfm-modules debug))+libfm-tools(file management support (utilities))+libfm4(file management support (core library))
960168	x264	libx264-155(x264 video coding library)+libx264-dev(development files for libx264)+x264(video encoder for the H.264/MPEG-4 AVC standard)
961523	rdflib	python-rdflib(Python library containing an RDF triple store and RDF parsers/serializers)+python-rdflib-doc(Python library containing an RDF triple store [...] (documentation))+python-rdflib-tools(Python tools for converting to and from RDF)+python3-rdflib(Python 3 library containing an RDF triple store and RDF parsers/serializers)
1059783	libdatetime-timezone-perl	libdatetime-timezone-perl(framework exposing the Olson time zone database to Perl)
1122399	pygments	python-pygments(syntax highlighting package written in Python)+python-pygments-doc(documentation for the Pygments)+python3-pygments(syntax highlighting package written in Python 3)
1136983	libxerces2-java	libxerces2-java(Validating XML parser for Java with DOM level 3 support)+libxerces2-java-doc(Validating XML parser for Java -- Documentation and examples)
1188621	libpipeline	libpipeline-dev(pipeline manipulation library (development files))+libpipeline1(pipeline manipulation library)
1226146	m4	m4(macro processing language)+m4-doc(Documentation for GNU m4)
1240232	autoconf	autoconf(automatic configure script builder)+autoconf-doc(automatic configure script builder documentation)
1262641	xmlgraphics-commons	libxmlgraphics-commons-java(Reusable components used by Batik and FOP)+libxmlgraphics-commons-java-doc(Reusable components used by Batik and FOP (documentation))
1367852	avahi	avahi-autoipd(Avahi IPv4LL network address configuration daemon)+avahi-daemon(Avahi mDNS/DNS-SD daemon)+avahi-discover(Service discover user interface for avahi)+avahi-dnsconfd(Avahi DNS configuration tool)+avahi-ui-utils(Avahi GTK+ utilities)+avahi-utils(Avahi browsing, publishing and discovery utilities)+gir1.2-avahi-0.6(GObject introspection data for Avahi)+libavahi-client-dev(Development files for the Avahi client library)+libavahi-client3(Avahi client library)+libavahi-common-data(Avahi common data files)+libavahi-common-dev(Development files for the Avahi common library)+libavahi-common3(Avahi common library)+libavahi-compat-libdnssd-dev(Development headers for the Avahi Apple Bonjour compatibility library)+libavahi-compat-libdnssd1(Avahi Apple Bonjour compatibility library)+libavahi-core-dev(Development files for Avahi's embeddable mDNS/DNS-SD library)+libavahi-core7(Avahi's embeddable mDNS/DNS-SD library)+libavahi-glib-dev(Development headers for the Avahi GLib integration library)+libavahi-glib1(Avahi GLib integration library)+libavahi-gobject-dev(Development headers for the Avahi GObject library)+libavahi-gobject0(Avahi GObject library)+libavahi-ui-gtk3-0(Avahi GTK+ User interface library for GTK3)+libavahi-ui-gtk3-dev(Development headers for the Avahi GTK+ User interface library)+python-avahi(Python utility package for Avahi)
1452184	hawtjni	libhawtjni-generator-java(HawtJNI Generator)+libhawtjni-maven-plugin-java(HawtJNI Maven Plugin)+libhawtjni-runtime-java(Java library that provide JNI code generation)
1579732	opensp	libosp-dev(OpenJade group's SP suite, developer support)+libosp5(Runtime library for OpenJade group's SP suite)+opensp(OpenJade group's SGML parsing tools)
1643165	guava-libraries	libguava-java(Suite of Google common libraries for Java)+libguava-java-doc(documentation for libguava-java)
1779424	fontconfig	fontconfig(generic font configuration library - support binaries)+fontconfig-config(generic font configuration library - configuration)+libfontconfig1(generic font configuration library - runtime)+libfontconfig1-dev(generic font configuration library - development)
1860972	golang-google-genproto	golang-google-genproto-dev(Generated Go packages for common protocol buffer types)
1951901	bnd	bnd(tool to create and diagnose OSGi bundles)
1983777	pkg-config	pkg-config(manage compile and link flags for libraries)
2046166	qtsensors-opensource-src	libqt5sensors5(Qt Sensors module)+libqt5sensors5-dev(Qt 5 Sensors development files)+qml-module-qtsensors(Qt 5 Sensors QML module)+qtsensors5-doc(Qt 5 Sensors documentation)+qtsensors5-doc-html(Qt 5 Sensors HTML documentation)+qtsensors5-examples(Qt 5 sensors examples)
2051160	man-db	man-db(on-line manual pager)
2162148	cyrus-sasl2	cyrus-sasl2-doc(Cyrus SASL - documentation)+libsasl2-2(Cyrus SASL - authentication abstraction library)+libsasl2-dev(Cyrus SASL - development files for authentication abstraction library)+libsasl2-modules(Cyrus SASL - pluggable authentication modules)+libsasl2-modules-db(Cyrus SASL - pluggable authentication modules (DB))+libsasl2-modules-gssapi-heimdal(Pluggable Authentication Modules for SASL (GSSAPI))+libsasl2-modules-gssapi-mit(Cyrus SASL - pluggable authentication modules (GSSAPI))+libsasl2-modules-ldap(Cyrus SASL - pluggable authentication modules (LDAP))+libsasl2-modules-otp(Cyrus SASL - pluggable authentication modules (OTP))+libsasl2-modules-sql(Cyrus SASL - pluggable authentication modules (SQL))+sasl2-bin(Cyrus SASL - administration programs for SASL users database)
2163572	dbus	dbus(simple interprocess messaging system (daemon and utilities))+dbus-1-doc(simple interprocess messaging system (documentation))+dbus-tests(simple interprocess messaging system (test infrastructure))+dbus-user-session(simple interprocess messaging system (systemd --user integration))+dbus-x11(simple interprocess messaging system (X11 deps))+libdbus-1-3(simple interprocess messaging system (library))+libdbus-1-dev(simple interprocess messaging system (development headers))
2278717	mpdecimal	libmpdec-dev(library for decimal floating point arithmetic (development files))+libmpdec-doc(library for decimal floating point arithmetic (documentation))+libmpdec2(library for decimal floating point arithmetic (runtime library))
